CO_UF;TP_DEPENDENCIA;TP_LOCALIZACAO;IN_LOCAL_FUNC_PREDIO_ESCOLAR;TP_OCUPACAO_PREDIO_ESCOLAR;IN_LOCAL_FUNC_UNID_PRISIONAL;IN_LOCAL_FUNC_PRISIONAL_SOCIO;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_PREDIO_COMPARTILHADO;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_CARRO_PIPA;IN_ENERGIA_RENOVAVEL;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_LIXO_SERVICO_COLETA;IN_LIXO_QUEIMA;IN_LIXO_ENTERRA;IN_LIXO_DESTINO_FINAL_PUBLICO;IN_LIXO_DESCARTA_OUTRA_AREA;IN_TRATAMENTO_LIXO_SEPARACAO;IN_TRATAMENTO_LIXO_REUTILIZA;IN_TRATAMENTO_LIXO_RECICLAGEM;IN_TRATAMENTO_LIXO_INEXISTENTE;IN_ALMOXARIFADO;IN_AREA_VERDE;IN_AREA_PLANTIO;IN_AUDITORIO;IN_BANHEIRO;IN_BANHEIRO_EI;IN_BANHEIRO_PNE;IN_BANHEIRO_FUNCIONARIOS;IN_BANHEIRO_CHUVEIRO;IN_BIBLIOTECA;IN_BIBLIOTECA_SALA_LEITURA;IN_COZINHA;IN_DESPENSA;IN_DORMITORIO_ALUNO;IN_DORMITORIO_PROFESSOR;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_LABORATORIO_EDUC_PROF;IN_PATIO_COBERTO;IN_PATIO_DESCOBERTO;IN_PARQUE_INFANTIL;IN_PISCINA;IN_QUADRA_ESPORTES;IN_QUADRA_ESPORTES_COBERTA;IN_QUADRA_ESPORTES_DESCOBERTA;IN_REFEITORIO;IN_SALA_ATELIE_ARTES;IN_SALA_MUSICA_CORAL;IN_SALA_ESTUDIO_DANCA;IN_SALA_MULTIUSO;IN_SALA_ESTUDIO_GRAVACAO;IN_SALA_OFICINAS_EDUC_PROF;IN_SALA_DIRETORIA;IN_SALA_LEITURA;IN_SALA_PROFESSOR;IN_SALA_REPOUSO_ALUNO;IN_SECRETARIA;IN_SALA_ATENDIMENTO_ESPECIAL;IN_TERREIRAO;IN_VIVEIRO;IN_DEPENDENCIAS_OUTRAS;IN_ACESSIBILIDADE_CORRIMAO;IN_ACESSIBILIDADE_ELEVADOR;IN_ACESSIBILIDADE_PISOS_TATEIS;IN_ACESSIBILIDADE_VAO_LIVRE;IN_ACESSIBILIDADE_RAMPAS;IN_ACESSIBILIDADE_SINAL_SONORO;IN_ACESSIBILIDADE_SINAL_TATIL;IN_ACESSIBILIDADE_SINAL_VISUAL;IN_ACESSIBILIDADE_INEXISTENTE;IN_ACESSIBILIDADE_SINALIZACAO;QT_SALAS_UTILIZADAS_DENTRO;QT_SALAS_UTILIZADAS_FORA;QT_SALAS_UTILIZADAS;QT_SALAS_UTILIZA_CLIMATIZADAS;QT_SALAS_UTILIZADAS_ACESSIVEIS;QT_SALAS_LEITURA;IN_EQUIP_PARABOLICA;IN_COMPUTADOR;IN_EQUIP_COPIADORA;IN_EQUIP_IMPRESSORA;IN_EQUIP_IMPRESSORA_MULT;IN_EQUIP_SCANNER;IN_EQUIP_NENHUM;IN_EQUIP_DVD;QT_EQUIP_DVD;IN_EQUIP_SOM;QT_EQUIP_SOM;IN_EQUIP_TV;QT_EQUIP_TV;IN_EQUIP_LOUSA_DIGITAL;QT_EQUIP_LOUSA_DIGITAL;IN_EQUIP_MULTIMIDIA;QT_EQUIP_MULTIMIDIA;IN_DESKTOP_ALUNO;QT_DESKTOP_ALUNO;IN_COMP_PORTATIL_ALUNO;QT_COMP_PORTATIL_ALUNO;IN_TABLET_ALUNO;QT_TABLET_ALUNO;IN_INTERNET;IN_INTERNET_ALUNOS;IN_INTERNET_ADMINISTRATIVO;IN_INTERNET_APRENDIZAGEM;IN_INTERNET_COMUNIDADE;IN_ACESSO_INTERNET_COMPUTADOR;IN_ACES_INTERNET_DISP_PESSOAIS;TP_REDE_LOCAL;IN_BANDA_LARGA;QT_PROF_ADMINISTRATIVOS;QT_PROF_SERVICOS_GERAIS;QT_PROF_BIBLIOTECARIO;QT_PROF_SAUDE;QT_PROF_COORDENADOR;QT_PROF_NUTRICIONISTA;QT_PROF_PSICOLOGO;QT_PROF_ALIMENTACAO;QT_PROF_PEDAGOGIA;QT_PROF_SECRETARIO;QT_PROF_SEGURANCA;QT_PROF_MONITORES;QT_PROF_GESTAO;QT_PROF_ASSIST_SOCIAL;QT_PROF_TRAD_LIBRAS;QT_PROF_AGRICOLA;QT_PROF_REVISOR_BRAILLE;IN_MATERIAL_PED_MULTIMIDIA;IN_MATERIAL_PED_INFANTIL;IN_MATERIAL_PED_CIENTIFICO;IN_MATERIAL_PED_DIFUSAO;IN_MATERIAL_PED_MUSICAL;IN_MATERIAL_PED_JOGOS;IN_MATERIAL_PED_ARTISTICAS;IN_MATERIAL_PED_PROFISSIONAL;IN_MATERIAL_PED_DESPORTIVA;IN_MATERIAL_PED_INDIGENA;IN_MATERIAL_PED_ETNICO;IN_MATERIAL_PED_CAMPO;IN_MATERIAL_PED_BIL_SURDOS;IN_MATERIAL_PED_AGRICOLA;IN_MATERIAL_PED_QUILOMBOLA;IN_MATERIAL_PED_EDU_ESP;IN_MATERIAL_PED_NENHUM;TP_INDIGENA_LINGUA;IN_EXAME_SELECAO;IN_RESERVA_PPI;IN_RESERVA_RENDA;IN_RESERVA_PUBLICA;IN_RESERVA_PCD;IN_RESERVA_OUTROS;IN_RESERVA_NENHUMA;IN_REDES_SOCIAIS;IN_ESPACO_ATIVIDADE;IN_ESPACO_EQUIPAMENTO;IN_ORGAO_ASS_PAIS;IN_ORGAO_ASS_PAIS_MESTRES;IN_ORGAO_CONSELHO_ESCOLAR;IN_ORGAO_GREMIO_ESTUDANTIL;IN_ORGAO_OUTROS;IN_ORGAO_NENHUM;TP_PROPOSTA_PEDAGOGICA;IN_EDUC_AMBIENTAL;TP_AEE;TP_ATIVIDADE_COMPLEMENTAR;IN_ITINERARIO_APROFUNDAMENTO;IN_ITINERARIO_TECN_PROF;IN_MEDIACAO_EAD;IN_EJA;IN_PROFISSIONALIZANTE;IN_COMUM_FUND_AI;IN_COMUM_FUND_AF;IN_COMUM_MEDIO_MEDIO;IN_COMUM_MEDIO_INTEGRADO;IN_COMUM_MEDIO_FIC;IN_COMUM_MEDIO_NORMAL;IN_COMUM_EJA_FUND;IN_COMUM_EJA_PROF;IN_COMUM_PROF;IDEB_2025
29;2;2;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;9.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;1.0;3.0;1.0;6.0;1.0;10.0;1.0;11.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.0;1.0;2.0;6.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6
29;2;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;29.0;0.0;29.0;29.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;3.0;1.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;62.0;1.0;40.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3.0;1.0;8.0;9.0;1.0;0.0;3.0;0.0;2.0;14.0;0.0;1.0;4.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.2
29;2;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;16.0;4.0;16.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2.0;1.0;3.0;1.0;16.0;0.0;0.0;1.0;3.0;1.0;3.0;0.0;0.0;1.0;6.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.6
29;2;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;7.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;4.0;10.0;0.0;0.0;0.0;0.0;0.0;6.0;2.0;1.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2
29;2;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;14.0;14.0;10.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;8.0;0.0;0.0;1.0;4.0;1.0;22.0;1.0;5.0;1.0;30.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;3.0;1.0;6.0;12.0;1.0;0.0;0.0;0.0;0.0;6.0;2.0;1.0;6.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5
29;2;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;24.0;24.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;26.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3.0;1.0;12.0;5.0;0.0;0.0;0.0;0.0;0.0;10.0;4.0;1.0;10.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;5.0
29;2;1;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;6.0;6.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;6.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;48.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3.0;1.0;3.0;10.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.8
29;2;2;0.0;9.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.8
29;2;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;12.0;0.0;12.0;12.0;12.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;4.0;1.0;7.0;1.0;1.0;1.0;3.0;1.0;9.0;1.0;36.0;1.0;102.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3.0;1.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.4
29;2;2;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;5.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;8.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.9
29;2;2;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;6.0;3.0;6.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;4.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;42.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.8
29;2;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;14.0;0.0;14.0;2.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4.0;1.0;7.0;1.0;2.0;1.0;1.0;1.0;5.0;1.0;25.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;10.0;4.0;3.0;0.0;1.0;1.0;1.0;10.0;2.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.1
29;2;2;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4
29;2;2;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;9.0;9.0;9.0;9.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7
